sample,r,theo,border,trans,iso
1461EP,277.973342895508,242748.28622787,317371.878324077,336709.285522961,317772.071466149
1461EP,279.067726135254,244663.452662398,319635.854136547,339187.032133062,320059.744156195
1461EP,280.162109375,246586.144308849,322219.306742662,341742.818595505,322435.494675952
1461EP,281.256492614746,248516.361167224,324771.799214306,344445.72345101,324956.149200662
1461EP,282.350875854492,250454.103237522,327142.512948277,347016.579373288,327329.740243405
1461EP,283.445259094238,252399.370519743,329531.872745325,349635.511100377,329750.263862145
1461EP,284.539642333984,254352.163013888,331559.386071304,352183.276857761,332111.558011171
1461EP,285.63402557373,256312.480719957,334011.376170295,354821.618415881,334536.2839376
1461EP,286.728408813477,258280.323637949,336186.763344606,357294.187272992,336812.729513615
1461EP,287.822792053223,260255.691767865,338284.334753284,359767.381555824,339104.360361922
1461EP,288.917175292969,262238.585109704,340546.546818461,362421.372293502,341566.435406916
1461EP,290.011558532715,264229.003663466,343116.07927492,365229.286143585,344157.729750607
1461EP,291.105941772461,266226.947429152,345389.334404114,367734.289087073,346467.676923713
1461EP,292.200325012207,268232.416406762,347713.764708018,370248.182584538,348765.634214829
1461EP,293.294708251953,270245.410596295,350075.903035391,372822.956420967,351153.066144019
1461EP,294.389091491699,272265.929997751,352424.574211525,375373.46525923,353502.645927209
1461EP,295.483474731445,274293.974611131,354665.508177745,377877.598681721,355824.562858441
1461EP,296.577857971191,276329.544436434,357058.002733867,380434.555425955,358158.141283455
1461EP,297.672241210938,278372.639473661,359242.388031781,382941.749850826,360494.49108207
1461EP,298.766624450684,280423.259722812,361923.026331395,385681.416349517,363007.852616809
1461EP,299.86100769043,282481.405183886,364261.536843422,388274.958002857,365412.100533566
1461EP,300.955390930176,284547.075856883,366731.763746673,391182.309841003,368106.955798935
1461EP,302.049774169922,286620.271741804,369262.355260906,393923.66772069,370661.159719371
1461EP,303.144157409668,288700.992838648,371628.236960961,396655.775500816,373176.961143721
1461EP,304.238540649414,290789.239147416,373828.967743133,399273.669116885,375586.786102749
1461EP,305.33292388916,292885.010668108,376515.209133486,402116.8844219,378211.358160721
1461EP,306.427307128906,294988.307400723,378787.717210796,404764.484416358,380648.162065332
1461EP,307.521690368652,297099.129345261,381231.058345147,407658.920963173,383291.300901613
1461EP,308.616073608398,299217.476501723,383593.428551967,410440.090784694,385873.332016787
1461EP,309.710456848145,301343.348870108,386180.528500412,413348.39933618,388564.234341608
1461EP,310.804840087891,303476.746450417,388623.42206389,416090.687879509,391091.127853765
1461EP,311.899223327637,305617.669242649,390963.92543963,418750.334285682,393551.128049078
1461EP,312.993606567383,307766.117246805,393542.798658731,421491.512373305,396080.48177888
1461EP,314.087989807129,309922.090462884,396100.940983052,424380.09483258,398723.888054117
1461EP,315.182373046875,312085.588890887,398871.906219443,427153.346681272,401237.762760818
